date,Campaign,Ad group,Headline 1,Headline 2,Headline 3,Headline 4,Headline 5,Headline 6,Headline 7,Headline 8,Headline 9,Headline 10,Headline 11,Headline 12,Headline 13,Headline 14,Headline 15,Description 1,Description 2,Description 3,Description 4,Final URL,Impressions,Clicks,CTR,Avg. CPC,Cost,Conversions,Conv. rate,Quality Score,Search Impression Share
{{T-11d}},Nonbrand — Incident Mgmt,Nonbrand — Incident Response,Modern Incident Response,"Fewer Pages, Faster Fixes",Try It Free for 14 Days,Own the On-Call Rotation,Set Up in One Afternoon,,,,,,,,,,,"Fewer pages, faster fixes, and a review that actually gets written.",Built for platform teams that own their on-call rotation.,,,https://orrery.example/product/incident-response,5692,241,0.04234,7.3,1758.6,12.0,0.049793,7,0.4118
{{T-11d}},Competitor — Conquest,Competitor — Alternatives,Switch to Orrery,A Calmer On-Call Rotation,Migrate in One Afternoon,"Incident Response, Rebuilt",Compare Orrery Free,,,,,,,,,,,Import your schedules and switch in one afternoon. No re-training.,"A calmer rotation, clearer ownership, and reviews that stick.",,,https://orrery.example/compare,3438,107,0.031123,9.5,1016.47,3.0,0.028037,5,0.2766
{{T-11d}},Competitor — Conquest,Competitor — Alternatives,Looking for Alternatives?,Orrery for Platform Teams,Import Your Schedules,Two-Week Free Trial,Book a 20-Minute Demo,,,,,,,,,,,"Compare incident response tools on ownership, routing, and review.",Two-week free trial. Bring your schedules; keep your workflow.,,,https://orrery.example/compare,2812,88,0.031294,9.45,831.66,2.0,0.022727,5,0.2766
{{T-10d}},Brand — Core,Brand — Exact,Orrery Incident Management,On-Call Without the Noise,Try Orrery Free for 14 Days,"Clear Ownership, Fast Fixes",Orrery — Official Site,,,,,,,,,,,Route every incident to the right owner in seconds. Start free.,"Clear ownership, fast response, and a learning loop after every page.",,,https://orrery.example/,5052,329,0.065123,4.2,1381.73,18.0,0.054711,9,0.7241
{{T-10d}},Brand — Core,Brand — Exact,Orrery Official Site,"Incident Response, Simplified",See Orrery in 10 Minutes,Built for Platform Teams,Start Free — No Card,,,,,,,,,,,See how platform teams run a calmer on-call rotation with Orrery.,"Set up schedules, routing, and reviews in a single afternoon.",,,https://orrery.example/,4134,269,0.06507,4.2,1130.51,15.0,0.055762,9,0.7241
{{T-10d}},Nonbrand — Incident Mgmt,Nonbrand — Incident Response,Incident Management Tool,Cut MTTR in Half,On-Call Without the Noise,Route Pages to the Owner,Free 14-Day Trial,,,,,,,,,,,Cut mean time to resolution without paging half the company.,"Ownership, routing, and review in one place. Free for 14 days.",,,https://orrery.example/product/incident-response,7489,317,0.042329,7.29,2312.4,15.0,0.047319,7,0.4118
{{T-10d}},Nonbrand — Incident Mgmt,Nonbrand — Incident Response,Modern Incident Response,"Fewer Pages, Faster Fixes",Try It Free for 14 Days,Own the On-Call Rotation,Set Up in One Afternoon,,,,,,,,,,,"Fewer pages, faster fixes, and a review that actually gets written.",Built for platform teams that own their on-call rotation.,,,https://orrery.example/product/incident-response,6128,259,0.042265,7.3,1891.97,13.0,0.050193,7,0.4118
{{T-10d}},Competitor — Conquest,Competitor — Alternatives,Switch to Orrery,A Calmer On-Call Rotation,Migrate in One Afternoon,"Incident Response, Rebuilt",Compare Orrery Free,,,,,,,,,,,Import your schedules and switch in one afternoon. No re-training.,"A calmer rotation, clearer ownership, and reviews that stick.",,,https://orrery.example/compare,3649,114,0.031241,9.48,1080.48,3.0,0.026316,5,0.2766
{{T-10d}},Competitor — Conquest,Competitor — Alternatives,Looking for Alternatives?,Orrery for Platform Teams,Import Your Schedules,Two-Week Free Trial,Book a 20-Minute Demo,,,,,,,,,,,"Compare incident response tools on ownership, routing, and review.",Two-week free trial. Bring your schedules; keep your workflow.,,,https://orrery.example/compare,2986,93,0.031145,9.51,884.02,2.0,0.021505,5,0.2766
{{T-9d}},Brand — Core,Brand — Exact,Orrery Incident Management,On-Call Without the Noise,Try Orrery Free for 14 Days,"Clear Ownership, Fast Fixes",Orrery — Official Site,,,,,,,,,,,Route every incident to the right owner in seconds. Start free.,"Clear ownership, fast response, and a learning loop after every page.",,,https://orrery.example/,4909,320,0.065186,4.2,1342.89,18.0,0.05625,9,0.7241
{{T-9d}},Brand — Core,Brand — Exact,Orrery Official Site,"Incident Response, Simplified",See Orrery in 10 Minutes,Built for Platform Teams,Start Free — No Card,,,,,,,,,,,See how platform teams run a calmer on-call rotation with Orrery.,"Set up schedules, routing, and reviews in a single afternoon.",,,https://orrery.example/,4016,261,0.06499,4.21,1098.72,14.0,0.05364,9,0.7241
{{T-9d}},Nonbrand — Incident Mgmt,Nonbrand — Incident Response,Incident Management Tool,Cut MTTR in Half,On-Call Without the Noise,Route Pages to the Owner,Free 14-Day Trial,,,,,,,,,,,Cut mean time to resolution without paging half the company.,"Ownership, routing, and review in one place. Free for 14 days.",,,https://orrery.example/product/incident-response,6904,292,0.042294,7.3,2132.76,14.0,0.047945,7,0.4118
{{T-9d}},Nonbrand — Incident Mgmt,Nonbrand — Incident Response,Modern Incident Response,"Fewer Pages, Faster Fixes",Try It Free for 14 Days,Own the On-Call Rotation,Set Up in One Afternoon,,,,,,,,,,,"Fewer pages, faster fixes, and a review that actually gets written.",Built for platform teams that own their on-call rotation.,,,https://orrery.example/product/incident-response,5649,239,0.042308,7.3,1744.98,12.0,0.050209,7,0.4118
{{T-9d}},Competitor — Conquest,Competitor — Alternatives,Switch to Orrery,A Calmer On-Call Rotation,Migrate in One Afternoon,"Incident Response, Rebuilt",Compare Orrery Free,,,,,,,,,,,Import your schedules and switch in one afternoon. No re-training.,"A calmer rotation, clearer ownership, and reviews that stick.",,,https://orrery.example/compare,3526,110,0.031197,9.52,1047.13,3.0,0.027273,5,0.2766
{{T-9d}},Competitor — Conquest,Competitor — Alternatives,Looking for Alternatives?,Orrery for Platform Teams,Import Your Schedules,Two-Week Free Trial,Book a 20-Minute Demo,,,,,,,,,,,"Compare incident response tools on ownership, routing, and review.",Two-week free trial. Bring your schedules; keep your workflow.,,,https://orrery.example/compare,2884,90,0.031207,9.52,856.74,2.0,0.022222,5,0.2766
{{T-8d}},Brand — Core,Brand — Exact,Orrery Incident Management,On-Call Without the Noise,Try Orrery Free for 14 Days,"Clear Ownership, Fast Fixes",Orrery — Official Site,,,,,,,,,,,Route every incident to the right owner in seconds. Start free.,"Clear ownership, fast response, and a learning loop after every page.",,,https://orrery.example/,4765,310,0.065058,4.2,1302.39,17.0,0.054839,9,0.7241
{{T-8d}},Brand — Core,Brand — Exact,Orrery Official Site,"Incident Response, Simplified",See Orrery in 10 Minutes,Built for Platform Teams,Start Free — No Card,,,,,,,,,,,See how platform teams run a calmer on-call rotation with Orrery.,"Set up schedules, routing, and reviews in a single afternoon.",,,https://orrery.example/,3899,254,0.065145,4.2,1065.59,14.0,0.055118,9,0.7241
{{T-8d}},Nonbrand — Incident Mgmt,Nonbrand — Incident Response,Incident Management Tool,Cut MTTR in Half,On-Call Without the Noise,Route Pages to the Owner,Free 14-Day Trial,,,,,,,,,,,Cut mean time to resolution without paging half the company.,"Ownership, routing, and review in one place. Free for 14 days.",,,https://orrery.example/product/incident-response,7242,306,0.042254,7.31,2236.36,15.0,0.04902,7,0.4118
{{T-8d}},Nonbrand — Incident Mgmt,Nonbrand — Incident Response,Modern Incident Response,"Fewer Pages, Faster Fixes",Try It Free for 14 Days,Own the On-Call Rotation,Set Up in One Afternoon,,,,,,,,,,,"Fewer pages, faster fixes, and a review that actually gets written.",Built for platform teams that own their on-call rotation.,,,https://orrery.example/product/incident-response,5926,251,0.042356,7.29,1829.75,12.0,0.047809,7,0.4118
{{T-8d}},Competitor — Conquest,Competitor — Alternatives,Switch to Orrery,A Calmer On-Call Rotation,Migrate in One Afternoon,"Incident Response, Rebuilt",Compare Orrery Free,,,,,,,,,,,Import your schedules and switch in one afternoon. No re-training.,"A calmer rotation, clearer ownership, and reviews that stick.",,,https://orrery.example/compare,3438,107,0.031123,9.54,1020.93,3.0,0.028037,5,0.2766
{{T-8d}},Competitor — Conquest,Competitor — Alternatives,Looking for Alternatives?,Orrery for Platform Teams,Import Your Schedules,Two-Week Free Trial,Book a 20-Minute Demo,,,,,,,,,,,"Compare incident response tools on ownership, routing, and review.",Two-week free trial. Bring your schedules; keep your workflow.,,,https://orrery.example/compare,2812,88,0.031294,9.49,835.31,2.0,0.022727,5,0.2766
{{T-7d}},Brand — Core,Brand — Exact,Orrery Incident Management,On-Call Without the Noise,Try Orrery Free for 14 Days,"Clear Ownership, Fast Fixes",Orrery — Official Site,,,,,,,,,,,Route every incident to the right owner in seconds. Start free.,"Clear ownership, fast response, and a learning loop after every page.",,,https://orrery.example/,5010,326,0.06507,4.2,1369.14,18.0,0.055215,9,0.7241
{{T-7d}},Brand — Core,Brand — Exact,Orrery Official Site,"Incident Response, Simplified",See Orrery in 10 Minutes,Built for Platform Teams,Start Free — No Card,,,,,,,,,,,See how platform teams run a calmer on-call rotation with Orrery.,"Set up schedules, routing, and reviews in a single afternoon.",,,https://orrery.example/,4099,267,0.065138,4.2,1120.21,15.0,0.05618,9,0.7241
{{T-7d}},Nonbrand — Incident Mgmt,Nonbrand — Incident Response,Incident Management Tool,Cut MTTR in Half,On-Call Without the Noise,Route Pages to the Owner,Free 14-Day Trial,,,,,,,,,,,Cut mean time to resolution without paging half the company.,"Ownership, routing, and review in one place. Free for 14 days.",,,https://orrery.example/product/incident-response,7151,302,0.042232,7.31,2206.86,14.0,0.046358,7,0.4118
{{T-7d}},Nonbrand — Incident Mgmt,Nonbrand — Incident Response,Modern Incident Response,"Fewer Pages, Faster Fixes",Try It Free for 14 Days,Own the On-Call Rotation,Set Up in One Afternoon,,,,,,,,,,,"Fewer pages, faster fixes, and a review that actually gets written.",Built for platform teams that own their on-call rotation.,,,https://orrery.example/product/incident-response,5851,248,0.042386,7.28,1805.62,12.0,0.048387,7,0.4118
{{T-7d}},Competitor — Conquest,Competitor — Alternatives,Switch to Orrery,A Calmer On-Call Rotation,Migrate in One Afternoon,"Incident Response, Rebuilt",Compare Orrery Free,,,,,,,,,,,Import your schedules and switch in one afternoon. No re-training.,"A calmer rotation, clearer ownership, and reviews that stick.",,,https://orrery.example/compare,3561,111,0.031171,9.52,1056.89,3.0,0.027027,5,0.2766
{{T-7d}},Competitor — Conquest,Competitor — Alternatives,Looking for Alternatives?,Orrery for Platform Teams,Import Your Schedules,Two-Week Free Trial,Book a 20-Minute Demo,,,,,,,,,,,"Compare incident response tools on ownership, routing, and review.",Two-week free trial. Bring your schedules; keep your workflow.,,,https://orrery.example/compare,2913,91,0.031239,9.5,864.72,2.0,0.021978,5,0.2766
{{T-6d}},Brand — Core,Brand — Exact,Orrery Incident Management,On-Call Without the Noise,Try Orrery Free for 14 Days,"Clear Ownership, Fast Fixes",Orrery — Official Site,,,,,,,,,,,Route every incident to the right owner in seconds. Start free.,"Clear ownership, fast response, and a learning loop after every page.",,,https://orrery.example/,4832,315,0.06519,4.2,1322.05,18.0,0.057143,9,0.7241
{{T-6d}},Brand — Core,Brand — Exact,Orrery Official Site,"Incident Response, Simplified",See Orrery in 10 Minutes,Built for Platform Teams,Start Free — No Card,,,,,,,,,,,See how platform teams run a calmer on-call rotation with Orrery.,"Set up schedules, routing, and reviews in a single afternoon.",,,https://orrery.example/,3954,257,0.064997,4.21,1081.67,14.0,0.054475,9,0.7241
{{T-6d}},Nonbrand — Incident Mgmt,Nonbrand — Incident Response,Incident Management Tool,Cut MTTR in Half,On-Call Without the Noise,Route Pages to the Owner,Free 14-Day Trial,,,,,,,,,,,Cut mean time to resolution without paging half the company.,"Ownership, routing, and review in one place. Free for 14 days.",,,https://orrery.example/product/incident-response,7035,298,0.04236,7.29,2171.87,14.0,0.04698,7,0.4118
{{T-6d}},Nonbrand — Incident Mgmt,Nonbrand — Incident Response,Modern Incident Response,"Fewer Pages, Faster Fixes",Try It Free for 14 Days,Own the On-Call Rotation,Set Up in One Afternoon,,,,,,,,,,,"Fewer pages, faster fixes, and a review that actually gets written.",Built for platform teams that own their on-call rotation.,,,https://orrery.example/product/incident-response,5756,243,0.042217,7.31,1776.98,12.0,0.049383,7,0.4118
{{T-6d}},Competitor — Conquest,Competitor — Alternatives,Switch to Orrery,A Calmer On-Call Rotation,Migrate in One Afternoon,"Incident Response, Rebuilt",Compare Orrery Free,,,,,,,,,,,Import your schedules and switch in one afternoon. No re-training.,"A calmer rotation, clearer ownership, and reviews that stick.",,,https://orrery.example/compare,3508,109,0.031072,9.54,1039.49,3.0,0.027523,5,0.2766
{{T-6d}},Competitor — Conquest,Competitor — Alternatives,Looking for Alternatives?,Orrery for Platform Teams,Import Your Schedules,Two-Week Free Trial,Book a 20-Minute Demo,,,,,,,,,,,"Compare incident response tools on ownership, routing, and review.",Two-week free trial. Bring your schedules; keep your workflow.,,,https://orrery.example/compare,2870,90,0.031359,9.45,850.49,2.0,0.022222,5,0.2766
{{T-5d}},Brand — Core,Brand — Exact,Orrery Incident Management,On-Call Without the Noise,Try Orrery Free for 14 Days,"Clear Ownership, Fast Fixes",Orrery — Official Site,,,,,,,,,,,Route every incident to the right owner in seconds. Start free.,"Clear ownership, fast response, and a learning loop after every page.",,,https://orrery.example/,4740,309,0.06519,4.2,1296.95,17.0,0.055016,9,0.7241
{{T-5d}},Brand — Core,Brand — Exact,Orrery Official Site,"Incident Response, Simplified",See Orrery in 10 Minutes,Built for Platform Teams,Start Free — No Card,,,,,,,,,,,See how platform teams run a calmer on-call rotation with Orrery.,"Set up schedules, routing, and reviews in a single afternoon.",,,https://orrery.example/,3878,252,0.064982,4.21,1061.14,14.0,0.055556,9,0.7241
{{T-5d}},Nonbrand — Incident Mgmt,Nonbrand — Incident Response,Incident Management Tool,Cut MTTR in Half,On-Call Without the Noise,Route Pages to the Owner,Free 14-Day Trial,,,,,,,,,,,Cut mean time to resolution without paging half the company.,"Ownership, routing, and review in one place. Free for 14 days.",,,https://orrery.example/product/incident-response,7360,311,0.042255,7.31,2274.37,15.0,0.048232,7,0.4118
{{T-5d}},Nonbrand — Incident Mgmt,Nonbrand — Incident Response,Modern Incident Response,"Fewer Pages, Faster Fixes",Try It Free for 14 Days,Own the On-Call Rotation,Set Up in One Afternoon,,,,,,,,,,,"Fewer pages, faster fixes, and a review that actually gets written.",Built for platform teams that own their on-call rotation.,,,https://orrery.example/product/incident-response,6021,255,0.042352,7.3,1860.85,12.0,0.047059,7,0.4118
{{T-5d}},Competitor — Conquest,Competitor — Alternatives,Switch to Orrery,A Calmer On-Call Rotation,Migrate in One Afternoon,"Incident Response, Rebuilt",Compare Orrery Free,,,,,,,,,,,Import your schedules and switch in one afternoon. No re-training.,"A calmer rotation, clearer ownership, and reviews that stick.",,,https://orrery.example/compare,3614,113,0.031267,9.48,1071.04,3.0,0.026549,5,0.2766
{{T-5d}},Competitor — Conquest,Competitor — Alternatives,Looking for Alternatives?,Orrery for Platform Teams,Import Your Schedules,Two-Week Free Trial,Book a 20-Minute Demo,,,,,,,,,,,"Compare incident response tools on ownership, routing, and review.",Two-week free trial. Bring your schedules; keep your workflow.,,,https://orrery.example/compare,2957,92,0.031113,9.53,876.31,2.0,0.021739,5,0.2766
{{T-4d}},Brand — Core,Brand — Exact,Orrery Incident Management,On-Call Without the Noise,Try Orrery Free for 14 Days,"Clear Ownership, Fast Fixes",Orrery — Official Site,,,,,,,,,,,Route every incident to the right owner in seconds. Start free.,"Clear ownership, fast response, and a learning loop after every page.",,,https://orrery.example/,4968,323,0.065016,4.21,1359.3,18.0,0.055728,9,0.7241
{{T-4d}},Brand — Core,Brand — Exact,Orrery Official Site,"Incident Response, Simplified",See Orrery in 10 Minutes,Built for Platform Teams,Start Free — No Card,,,,,,,,,,,See how platform teams run a calmer on-call rotation with Orrery.,"Set up schedules, routing, and reviews in a single afternoon.",,,https://orrery.example/,4064,265,0.065207,4.2,1112.16,14.0,0.05283,9,0.7241
{{T-4d}},Nonbrand — Incident Mgmt,Nonbrand — Incident Response,Incident Management Tool,Cut MTTR in Half,On-Call Without the Noise,Route Pages to the Owner,Free 14-Day Trial,,,,,,,,,,,Cut mean time to resolution without paging half the company.,"Ownership, routing, and review in one place. Free for 14 days.",,,https://orrery.example/product/incident-response,6956,294,0.042266,7.3,2146.42,14.0,0.047619,7,0.4118
{{T-4d}},Nonbrand — Incident Mgmt,Nonbrand — Incident Response,Modern Incident Response,"Fewer Pages, Faster Fixes",Try It Free for 14 Days,Own the On-Call Rotation,Set Up in One Afternoon,,,,,,,,,,,"Fewer pages, faster fixes, and a review that actually gets written.",Built for platform teams that own their on-call rotation.,,,https://orrery.example/product/incident-response,5692,241,0.04234,7.29,1756.17,12.0,0.049793,7,0.4118
{{T-4d}},Competitor — Conquest,Competitor — Alternatives,Switch to Orrery,A Calmer On-Call Rotation,Migrate in One Afternoon,"Incident Response, Rebuilt",Compare Orrery Free,,,,,,,,,,,Import your schedules and switch in one afternoon. No re-training.,"A calmer rotation, clearer ownership, and reviews that stick.",,,https://orrery.example/compare,3473,108,0.031097,9.54,1030.0,3.0,0.027778,5,0.2766
{{T-4d}},Competitor — Conquest,Competitor — Alternatives,Looking for Alternatives?,Orrery for Platform Teams,Import Your Schedules,Two-Week Free Trial,Book a 20-Minute Demo,,,,,,,,,,,"Compare incident response tools on ownership, routing, and review.",Two-week free trial. Bring your schedules; keep your workflow.,,,https://orrery.example/compare,2841,89,0.031327,9.47,842.72,2.0,0.022472,5,0.2766
{{T-3d}},Brand — Core,Brand — Exact,Orrery Incident Management,On-Call Without the Noise,Try Orrery Free for 14 Days,"Clear Ownership, Fast Fixes",Orrery — Official Site,,,,,,,,,,,Route every incident to the right owner in seconds. Start free.,"Clear ownership, fast response, and a learning loop after every page.",,,https://orrery.example/,5061,329,0.065007,4.21,1383.71,18.0,0.054711,9,0.7241
{{T-3d}},Brand — Core,Brand — Exact,Orrery Official Site,"Incident Response, Simplified",See Orrery in 10 Minutes,Built for Platform Teams,Start Free — No Card,,,,,,,,,,,See how platform teams run a calmer on-call rotation with Orrery.,"Set up schedules, routing, and reviews in a single afternoon.",,,https://orrery.example/,4140,270,0.065217,4.19,1132.12,15.0,0.055556,9,0.7241
{{T-3d}},Nonbrand — Incident Mgmt,Nonbrand — Incident Response,Incident Management Tool,Cut MTTR in Half,On-Call Without the Noise,Route Pages to the Owner,Free 14-Day Trial,,,,,,,,,,,Cut mean time to resolution without paging half the company.,"Ownership, routing, and review in one place. Free for 14 days.",,,https://orrery.example/product/incident-response,7450,315,0.042282,7.3,2299.53,15.0,0.047619,7,0.4118
{{T-3d}},Nonbrand — Incident Mgmt,Nonbrand — Incident Response,Modern Incident Response,"Fewer Pages, Faster Fixes",Try It Free for 14 Days,Own the On-Call Rotation,Set Up in One Afternoon,,,,,,,,,,,"Fewer pages, faster fixes, and a review that actually gets written.",Built for platform teams that own their on-call rotation.,,,https://orrery.example/product/incident-response,6096,258,0.042323,7.29,1881.43,13.0,0.050388,7,0.4118
{{T-3d}},Competitor — Conquest,Competitor — Alternatives,Switch to Orrery,A Calmer On-Call Rotation,Migrate in One Afternoon,"Incident Response, Rebuilt",Compare Orrery Free,,,,,,,,,,,Import your schedules and switch in one afternoon. No re-training.,"A calmer rotation, clearer ownership, and reviews that stick.",,,https://orrery.example/compare,3561,111,0.031171,9.49,1053.3,3.0,0.027027,5,0.2766
{{T-3d}},Competitor — Conquest,Competitor — Alternatives,Looking for Alternatives?,Orrery for Platform Teams,Import Your Schedules,Two-Week Free Trial,Book a 20-Minute Demo,,,,,,,,,,,"Compare incident response tools on ownership, routing, and review.",Two-week free trial. Bring your schedules; keep your workflow.,,,https://orrery.example/compare,2913,91,0.031239,9.47,861.79,2.0,0.021978,5,0.2766
{{T-2d}},Brand — Core,Brand — Exact,Orrery Incident Management,On-Call Without the Noise,Try Orrery Free for 14 Days,"Clear Ownership, Fast Fixes",Orrery — Official Site,,,,,,,,,,,Route every incident to the right owner in seconds. Start free.,"Clear ownership, fast response, and a learning loop after every page.",,,https://orrery.example/,4816,314,0.065199,4.19,1315.71,17.0,0.05414,9,0.7241
{{T-2d}},Brand — Core,Brand — Exact,Orrery Official Site,"Incident Response, Simplified",See Orrery in 10 Minutes,Built for Platform Teams,Start Free — No Card,,,,,,,,,,,See how platform teams run a calmer on-call rotation with Orrery.,"Set up schedules, routing, and reviews in a single afternoon.",,,https://orrery.example/,3940,256,0.064975,4.21,1076.49,14.0,0.054688,9,0.7241
{{T-2d}},Nonbrand — Incident Mgmt,Nonbrand — Incident Response,Incident Management Tool,Cut MTTR in Half,On-Call Without the Noise,Route Pages to the Owner,Free 14-Day Trial,,,,,,,,,,,Cut mean time to resolution without paging half the company.,"Ownership, routing, and review in one place. Free for 14 days.",,,https://orrery.example/product/incident-response,7112,301,0.042323,7.3,2197.43,14.0,0.046512,7,0.4118
{{T-2d}},Nonbrand — Incident Mgmt,Nonbrand — Incident Response,Modern Incident Response,"Fewer Pages, Faster Fixes",Try It Free for 14 Days,Own the On-Call Rotation,Set Up in One Afternoon,,,,,,,,,,,"Fewer pages, faster fixes, and a review that actually gets written.",Built for platform teams that own their on-call rotation.,,,https://orrery.example/product/incident-response,5819,246,0.042275,7.31,1797.9,12.0,0.04878,7,0.4118
{{T-2d}},Competitor — Conquest,Competitor — Alternatives,Switch to Orrery,A Calmer On-Call Rotation,Migrate in One Afternoon,"Incident Response, Rebuilt",Compare Orrery Free,,,,,,,,,,,Import your schedules and switch in one afternoon. No re-training.,"A calmer rotation, clearer ownership, and reviews that stick.",,,https://orrery.example/compare,3526,110,0.031197,9.49,1044.15,3.0,0.027273,5,0.2766
